temperatura,data
49.500000,1441381767.557561
49.437000,1441381769.334954
49.437000,1441381771.112264
49.437000,1441381772.889614
49.375000,1441381774.666936
49.312000,1441381776.444293
49.312000,1441381778.221749
49.250000,1441381779.999004
49.187000,1441381781.776311
49.187000,1441381783.553665
49.187000,1441381785.331023
49.125000,1441381787.114212
49.125000,1441381788.891542
49.062000,1441381790.668879
49.062000,1441381792.455989
49.000000,1441381794.233292
49.000000,1441381796.010707
48.937000,1441381797.788040
48.937000,1441381799.565390
48.937000,1441381801.342764
48.875000,1441381803.122035
48.812000,1441381804.899375
48.812000,1441381806.676742
48.750000,1441381808.454072
48.687000,1441381810.231404
48.687000,1441381812.008770
48.687000,1441381813.786083
48.625000,1441381815.563409
48.625000,1441381817.340800
48.625000,1441381819.123990
48.562000,1441381821.666962
48.562000,1441381823.444308
48.500000,1441381825.221640
48.437000,1441381826.998975
48.375000,1441381828.776351
48.375000,1441381830.553652
48.375000,1441381832.331640
48.312000,1441381834.108371
48.250000,1441381835.885702
48.250000,1441381837.663027
48.187000,1441381839.440398
48.187000,1441381841.217752
48.125000,1441381842.997624
48.125000,1441381844.774399
48.062000,1441381846.551692
48.062000,1441381848.329065
48.000000,1441381850.106431
47.937000,1441381851.890668
47.937000,1441381853.666925
47.875000,1441381855.444317
47.875000,1441381857.221658
47.875000,1441381858.998997
47.812000,1441381860.776430
47.750000,1441381862.553735
47.750000,1441381864.335087
47.750000,1441381866.113092
47.687000,1441381867.891547
47.687000,1441381869.668870
47.625000,1441381871.446268
47.625000,1441381873.229466
47.562000,1441381875.006809
47.562000,1441381876.784166
47.562000,1441381878.561457
47.500000,1441381880.338829
47.500000,1441381882.116165
47.437000,1441381883.899343
47.375000,1441381885.676698
47.312000,1441381887.455105
47.187000,1441381889.237282
47.062000,1441381891.014684
46.937000,1441381892.791970
46.750000,1441381894.569289
46.562000,1441381896.346637
46.375000,1441381898.127523
46.187000,1441381899.905226
46.000000,1441381901.683219
45.875000,1441381903.459935
45.687000,1441381905.243135
45.562000,1441381907.020472
45.375000,1441381908.807608
45.125000,1441381911.354472
44.937000,1441381913.131803
44.750000,1441381914.909147
44.562000,1441381916.688412
44.375000,1441381918.465761
44.250000,1441381920.243143
44.062000,1441381922.020461
43.875000,1441381923.798680
43.750000,1441381925.575147
43.562000,1441381927.352504
43.437000,1441381929.129859
43.312000,1441381930.907187
43.250000,1441381932.684498
43.062000,1441381934.461867
43.000000,1441381936.239249
42.875000,1441381938.016535
42.750000,1441381939.793889
42.625000,1441381941.571839
42.437000,1441381943.354448
42.312000,1441381945.132334
42.187000,1441381946.909142
42.062000,1441381948.686507
41.937000,1441381950.463805
41.750000,1441381952.241181
41.687000,1441381954.020344
41.562000,1441381955.799728
41.437000,1441381957.581038
41.375000,1441381959.358355
41.250000,1441381961.135704
41.187000,1441381962.913079
41.062000,1441381964.690359
41.000000,1441381966.467714
40.937000,1441381968.245648
40.812000,1441381970.022428
40.687000,1441381971.799738
40.562000,1441381973.577115
40.437000,1441381975.354468
40.312000,1441381977.131812
40.187000,1441381978.909130
40.125000,1441381980.687218
40.062000,1441381982.463822
39.937000,1441381984.242328
39.875000,1441381986.024369
39.750000,1441381987.801678
39.687000,1441381989.579032
39.625000,1441381991.358359
39.500000,1441381993.135707
39.437000,1441381994.913048
39.375000,1441381996.690382
39.250000,1441381998.467732
39.125000,1441382000.245673
39.062000,1441382002.028277
38.937000,1441382003.807563
38.812000,1441382005.584906
38.750000,1441382007.368133
38.625000,1441382009.145539
38.562000,1441382010.922839
38.437000,1441382012.700133
38.375000,1441382014.477508
38.312000,1441382016.254850
38.187000,1441382018.036270
38.125000,1441382019.815380
38.062000,1441382021.598466
37.937000,1441382023.379986
37.875000,1441382025.157177
37.875000,1441382026.934550
37.812000,1441382028.712034
37.687000,1441382030.489197
37.625000,1441382032.266572
37.562000,1441382034.043898
37.500000,1441382035.821227
37.437000,1441382037.598575
37.375000,1441382039.377976
37.312000,1441382041.155216
37.250000,1441382042.932632
37.187000,1441382044.709880
37.125000,1441382046.488267
37.062000,1441382048.264608
37.000000,1441382050.041951
36.937000,1441382051.819297
36.875000,1441382053.596642
36.812000,1441382055.373997
36.750000,1441382057.151322
36.687000,1441382058.928761
36.625000,1441382060.705974
36.562000,1441382062.483326
36.500000,1441382064.260703
36.375000,1441382066.047823
36.250000,1441382067.830388
36.187000,1441382069.617903
36.125000,1441382071.395476
36.062000,1441382073.172812
36.000000,1441382074.950176
35.937000,1441382076.728511
35.875000,1441382078.504811
35.812000,1441382080.282213
35.750000,1441382082.062374
35.687000,1441382083.840768
35.687000,1441382085.618115
35.625000,1441382087.399396
35.562000,1441382089.176717
35.500000,1441382090.954084
35.437000,1441382092.732238
35.375000,1441382094.508730
35.375000,1441382096.286093
35.312000,1441382098.073184
35.250000,1441382099.850530
35.187000,1441382101.627907
35.125000,1441382103.405233
35.062000,1441382105.185950
34.937000,1441382106.963839
34.875000,1441382108.743007
34.750000,1441382110.520455
34.687000,1441382112.297855
34.625000,1441382114.075150
34.562000,1441382115.852446
34.500000,1441382117.629998
34.437000,1441382119.413037
34.375000,1441382121.191169
34.375000,1441382122.967746
34.312000,1441382124.745115
34.250000,1441382126.522958
34.187000,1441382128.299786
34.125000,1441382130.077098
34.062000,1441382131.854438
34.062000,1441382133.631775
34.000000,1441382135.411094
33.937000,1441382137.188448
33.875000,1441382138.965814
33.812000,1441382140.743127
33.812000,1441382142.520451
33.750000,1441382144.297809
33.687000,1441382146.079049
33.687000,1441382147.856397
33.625000,1441382149.633733
33.625000,1441382151.416955
33.562000,1441382153.194298
33.562000,1441382154.971655
33.500000,1441382156.749137
33.437000,1441382158.526302
33.437000,1441382160.303689
33.437000,1441382162.081016
33.375000,1441382163.858478
33.375000,1441382165.638337
33.312000,1441382167.414998
33.375000,1441382169.192360
33.312000,1441382170.969718
33.312000,1441382172.747057
33.250000,1441382174.524357
33.250000,1441382176.307696
33.250000,1441382178.084929
33.250000,1441382179.864214
33.250000,1441382181.641531
33.187000,1441382183.418930
33.187000,1441382185.196287
33.125000,1441382186.973612
33.125000,1441382188.751050
33.062000,1441382190.528288
33.062000,1441382192.305637
33.000000,1441382194.082972
32.937000,1441382195.860302
32.937000,1441382197.637634
32.937000,1441382199.418907
32.937000,1441382201.197119
32.937000,1441382202.973613
32.875000,1441382204.750940
32.875000,1441382206.530210
32.812000,1441382208.307603
32.812000,1441382210.085005
32.812000,1441382211.862230
32.750000,1441382213.639590
32.750000,1441382215.422774
32.687000,1441382217.200175
32.687000,1441382218.977506
32.687000,1441382220.755038
32.687000,1441382222.532165
32.625000,1441382224.311488
32.625000,1441382226.092730
32.625000,1441382227.870066
32.562000,1441382229.647936
32.562000,1441382231.431224
32.500000,1441382233.207984
32.500000,1441382234.986031
32.437000,1441382236.762671
32.375000,1441382238.539994
32.375000,1441382240.317360
32.312000,1441382242.098656
32.250000,1441382243.879289
32.187000,1441382245.657173
32.187000,1441382247.440360
32.125000,1441382249.217759
32.062000,1441382250.995120
32.062000,1441382252.772446
32.000000,1441382254.549737
32.000000,1441382256.327115
32.000000,1441382258.114197
31.937000,1441382259.894387
31.937000,1441382261.670857
31.937000,1441382263.448207
31.875000,1441382265.225559
31.812000,1441382267.768540
31.750000,1441382269.545871
31.750000,1441382271.323206
31.687000,1441382273.100547
31.687000,1441382274.877898
31.625000,1441382276.655211
31.625000,1441382278.432514
31.625000,1441382280.210422
31.625000,1441382281.987253
31.562000,1441382283.774353
31.562000,1441382285.551722
31.500000,1441382287.329071
31.500000,1441382289.110309
31.437000,1441382290.887644
31.437000,1441382292.664975
31.375000,1441382294.448214
31.312000,1441382296.225585
31.312000,1441382298.002910
31.250000,1441382299.780233
31.250000,1441382301.557559
31.187000,1441382303.334932
31.187000,1441382305.118145
31.125000,1441382306.895493
31.125000,1441382308.673338
31.062000,1441382310.452115
31.062000,1441382312.229456
31.062000,1441382314.006823
31.062000,1441382315.784120
31.000000,1441382317.561490
31.000000,1441382319.338934
31.000000,1441382321.116189
31.000000,1441382322.893515
31.000000,1441382324.671880
31.000000,1441382326.448265
31.000000,1441382328.225554
30.937000,1441382330.002919
30.937000,1441382331.780219
30.937000,1441382333.558377
30.937000,1441382335.340804
30.875000,1441382337.118188
30.875000,1441382338.895655
30.875000,1441382340.672840
30.875000,1441382342.450126
30.875000,1441382344.227518
30.875000,1441382346.004884
30.812000,1441382347.782132
30.812000,1441382349.559538
30.812000,1441382351.336876
30.750000,1441382353.123989
30.750000,1441382354.901338
30.750000,1441382356.678647
30.687000,1441382358.459910
30.687000,1441382360.237277
30.625000,1441382362.014647
30.625000,1441382363.791960
30.625000,1441382365.569357
30.562000,1441382367.346676
30.562000,1441382369.123959
30.562000,1441382370.901895
30.500000,1441382372.678687
30.500000,1441382374.456019
30.500000,1441382376.233350
30.500000,1441382378.010721
30.437000,1441382379.788068
30.437000,1441382381.565376
30.437000,1441382383.342742
30.437000,1441382385.120080
30.375000,1441382386.897492
30.437000,1441382388.674725
30.375000,1441382390.461878
30.437000,1441382392.239821
30.437000,1441382394.016577
30.437000,1441382395.793912
30.375000,1441382397.571232
30.375000,1441382399.348653
30.312000,1441382401.133747
30.312000,1441382402.914560
30.312000,1441382404.692307
30.375000,1441382406.475556
30.312000,1441382408.252899
30.312000,1441382410.030321
30.312000,1441382411.809581
30.250000,1441382413.589887
30.250000,1441382415.367214
30.250000,1441382417.149459
30.250000,1441382419.692359
30.187000,1441382421.469691
30.187000,1441382423.247049
30.187000,1441382425.024378
30.125000,1441382426.801736
30.125000,1441382428.579045
30.125000,1441382430.356412
30.125000,1441382432.133842
30.125000,1441382433.911088
30.187000,1441382435.688428
30.187000,1441382437.465799
30.187000,1441382439.243139
30.250000,1441382441.020469
30.250000,1441382442.797802
30.250000,1441382444.575158
30.250000,1441382446.352519
30.250000,1441382448.129873
30.250000,1441382449.907207
30.250000,1441382451.686464
30.250000,1441382453.463854
