temperatura,data
25.812000,1441366199.022383
25.812000,1441366200.799782
25.875000,1441366202.577108
25.812000,1441366204.354433
25.875000,1441366206.131818
25.812000,1441366207.909126
25.812000,1441366209.686472
25.812000,1441366211.463838
25.812000,1441366213.241142
25.812000,1441366215.018468
25.812000,1441366216.795868
25.812000,1441366218.573177
25.812000,1441366220.350533
25.812000,1441366222.127904
25.812000,1441366223.905903
25.812000,1441366225.682575
25.812000,1441366227.460539
25.812000,1441366229.237248
25.750000,1441366231.014594
25.750000,1441366232.791939
25.812000,1441366234.569419
25.812000,1441366236.346664
25.750000,1441366238.123992
25.750000,1441366239.907195
25.750000,1441366241.684540
25.750000,1441366243.461940
25.750000,1441366245.239205
25.750000,1441366247.016573
25.750000,1441366248.793909
25.750000,1441366250.571967
25.750000,1441366252.348590
25.750000,1441366254.125946
25.750000,1441366255.903271
25.750000,1441366257.680615
25.750000,1441366259.457980
25.750000,1441366261.235276
25.687000,1441366263.012617
25.750000,1441366264.790019
25.687000,1441366266.567336
25.750000,1441366268.344687
25.750000,1441366270.122028
25.750000,1441366271.899359
25.750000,1441366273.680610
25.750000,1441366275.458048
25.687000,1441366277.235289
25.687000,1441366279.012645
25.687000,1441366280.790584
25.687000,1441366282.567331
25.687000,1441366284.344662
25.625000,1441366286.122036
25.687000,1441366287.899344
25.687000,1441366289.676709
25.687000,1441366291.454080
25.687000,1441366293.231399
25.625000,1441366295.010699
25.625000,1441366296.788058
25.687000,1441366298.565379
25.625000,1441366300.342715
25.625000,1441366302.120073
25.687000,1441366303.897384
25.687000,1441366305.674745
25.687000,1441366307.452101
25.625000,1441366309.235304
25.687000,1441366311.012823
25.687000,1441366312.790015
25.625000,1441366314.567402
25.687000,1441366316.344684
25.687000,1441366318.121981
25.687000,1441366319.903245
25.625000,1441366321.680708
25.687000,1441366323.457957
25.625000,1441366325.241261
25.625000,1441366327.024352
25.687000,1441366328.801719
25.687000,1441366330.579051
25.687000,1441366332.356394
25.687000,1441366334.133753
25.687000,1441366335.911066
25.687000,1441366337.688430
25.750000,1441366339.468698
25.750000,1441366341.250925
25.750000,1441366343.028275
25.812000,1441366344.805642
25.812000,1441366346.582976
25.875000,1441366348.360308
25.875000,1441366350.137666
25.875000,1441366351.915012
25.937000,1441366353.692321
25.937000,1441366355.469690
26.000000,1441366357.250920
26.000000,1441366359.028257
26.062000,1441366360.806547
26.062000,1441366362.582967
26.125000,1441366364.360854
26.187000,1441366366.137670
26.187000,1441366367.914993
26.187000,1441366369.692335
26.250000,1441366371.469693
26.312000,1441366373.252881
26.375000,1441366375.030218
26.375000,1441366376.807591
26.437000,1441366378.584902
26.437000,1441366380.362261
26.500000,1441366382.139646
26.562000,1441366383.916923
26.562000,1441366385.694307
26.625000,1441366387.471664
26.625000,1441366389.248963
26.750000,1441366391.026344
26.750000,1441366392.803686
26.875000,1441366394.581011
26.937000,1441366396.358422
27.000000,1441366398.135711
27.000000,1441366399.916945
27.000000,1441366401.694288
27.062000,1441366403.471636
27.125000,1441366405.254817
27.125000,1441366407.032157
27.125000,1441366408.809542
27.187000,1441366410.586869
27.250000,1441366412.364240
27.312000,1441366414.141732
27.375000,1441366415.918881
27.375000,1441366417.696248
27.437000,1441366419.473605
27.500000,1441366421.252870
27.562000,1441366423.032995
27.625000,1441366424.809552
27.687000,1441366426.586876
27.750000,1441366428.364213
27.812000,1441366430.141563
