temperatura,data
29.750000,1461527565.518512
29.687000,1461527566.522426
29.750000,1461527567.526343
29.750000,1461527568.530239
29.750000,1461527569.534139
29.750000,1461527570.538233
29.750000,1461527571.541948
29.750000,1461527572.545857
29.750000,1461527573.549769
29.750000,1461527574.553683
29.750000,1461527575.557591
29.750000,1461527576.561499
29.750000,1461527577.565395
29.750000,1461527578.569904
29.687000,1461527579.573191
29.750000,1461527580.577103
29.687000,1461527581.581012
29.750000,1461527582.584929
29.750000,1461527583.588848
29.750000,1461527584.592745
29.750000,1461527585.596651
29.750000,1461527586.600564
29.750000,1461527587.604444
29.750000,1461527588.608347
29.750000,1461527589.612264
29.750000,1461527590.616176
29.750000,1461527591.620085
29.750000,1461527592.623979
29.750000,1461527593.627898
29.687000,1461527594.631794
29.750000,1461527595.635703
29.687000,1461527596.639598
29.750000,1461527597.643504
29.687000,1461527598.647416
29.750000,1461527599.651326
29.750000,1461527600.655232
29.750000,1461527601.659146
29.750000,1461527602.663967
29.750000,1461527603.666960
29.750000,1461527604.670882
29.750000,1461527605.674771
29.750000,1461527606.678675
29.750000,1461527607.682583
29.750000,1461527608.686495
29.750000,1461527609.690393
29.750000,1461527610.694309
29.687000,1461527611.698215
29.687000,1461527612.702114
29.750000,1461527613.706028
29.750000,1461527614.709943
29.750000,1461527615.713818
29.750000,1461527616.717746
29.750000,1461527617.721649
29.750000,1461527618.725557
29.750000,1461527619.729447
29.750000,1461527620.733367
29.750000,1461527621.737278
29.750000,1461527622.741170
29.750000,1461527623.745086
29.750000,1461527624.748986
29.750000,1461527625.752892
29.750000,1461527626.756804
29.687000,1461527627.760715
29.687000,1461527628.764611
29.750000,1461527629.768525
29.750000,1461527630.772416
29.750000,1461527631.776341
29.750000,1461527632.780310
29.687000,1461527633.784151
29.687000,1461527634.790001
29.750000,1461527635.794559
29.750000,1461527636.800047
29.687000,1461527637.803681
29.687000,1461527638.807591
29.687000,1461527639.811494
29.750000,1461527640.815436
29.750000,1461527641.819526
29.750000,1461527642.823210
29.750000,1461527643.827417
29.750000,1461527644.831020
29.687000,1461527645.838825
29.750000,1461527646.848606
29.687000,1461527647.858360
29.750000,1461527648.868132
29.750000,1461527649.877921
29.687000,1461527650.887667
29.750000,1461527651.897452
